"trans_id";"account_id";"date";"type";"operation";"amount";"balance";"k_symbol";"bank";"account"
"816019";"2779";"230101";"VYDAJ";"PREVOD NA UCET";"34.00";"64376.80";" ";"QR";"69750815"
"815187";"2776";"230101";"PRIJEM";"PREVOD Z UCTU";"4760.00";"19717.80";"DUCHOD";"CD";"26803970"
"380594";"1293";"230101";"VYDAJ";"PREVOD NA UCET";"3484.00";"26398.40";"SIPO";"MN";"91569077"
"379710";"1291";"230101";"PRIJEM";"PREVOD Z UCTU";"4821.00";"19124.40";"DUCHOD";"WX";"86025642"
"383691";"1303";"230101";"VYDAJ";"VYBER";"2700.00";"28588.60";"";"";""
"385117";"1308";"230101";"VYDAJ";"PREVOD NA UCET";"3206.00";"18628.70";"SIPO";"CD";"27181756"
"385834";"1311";"230101";"VYDAJ";"PREVOD NA UCET";"9327.00";"20951.80";"SIPO";"UV";"53567492"
"386932";"1315";"230101";"VYDAJ";"PREVOD NA UCET";"2813.00";"45271.80";"SIPO";"YZ";"869143"
"1025714";"3502";"230101";"VYDAJ";"PREVOD NA UCET";"5258.00";"38237.00";"SIPO";"GH";"40998464"
"1027284";"3508";"230101";"VYDAJ";"VYBER";"800.00";"37712.00";"";"";""
"1028900";"3513";"230101";"VYDAJ";"VYBER";"11700.00";"44872.70";"";"";""
"1027233";"3508";"230101";"PRIJEM";"VKLAD";"20193.00";"38512.00";"";"";""
"1029043";"3514";"230101";"PRIJEM";"PREVOD Z UCTU";"3399.00";"28109.90";"";"GH";"67514222"
"1089084";"3721";"230101";"PRIJEM";"PREVOD Z UCTU";"3391.00";"22055.70";"";"AB";"61522686"
"1089384";"3722";"230101";"VYDAJ";"VYBER";"6100.00";"37670.20";"";"";""
"1291522";"4414";"230101";"VYDAJ";"PREVOD NA UCET";"3509.00";"48374.30";" ";"ST";"35362416"
"1295161";"4423";"230101";"VYDAJ";"PREVOD NA UCET";"4015.00";"58764.00";" ";"QR";"21013897"
"1293082";"4418";"230101";"VYDAJ";"PREVOD NA UCET";"186.00";"16931.50";" ";"ST";"36693310"
"1293022";"4418";"230101";"VYDAJ";"PREVOD NA UCET";"5951.00";"10980.50";"SIPO";"ST";"50905704"
"1281461";"4383";"230101";"VYDAJ";"PREVOD NA UCET";"8352.00";"81572.30";"SIPO";"AB";"54309666"
