"trans_id";"account_id";"date";"type";"operation";"amount";"balance";"k_symbol";"bank";"account"
"425749";"1446";"230102";"VYDAJ";"PREVOD NA UCET";"4877.00";"73473.50";"SIPO";"GH";"83373719"
"423112";"1437";"230102";"VYDAJ";"PREVOD NA UCET";"314.00";"21748.80";" ";"OP";"22823983"
"423818";"1440";"230102";"VYDAJ";"PREVOD NA UCET";"56.00";"11753.90";"SIPO";"ST";"85377597"
"423064";"1437";"230102";"VYDAJ";"PREVOD NA UCET";"1753.00";"19995.80";"SIPO";"ST";"58229595"
"481972";"1641";"230102";"VYDAJ";"PREVOD NA UCET";"1294.00";"25428.60";" ";"MN";"57866871"
"483970";"1647";"230102";"VYDAJ";"PREVOD NA UCET";"1199.00";"23673.00";" ";"GH";"78795104"
"486705";"1659";"230102";"PRIJEM";"PREVOD Z UCTU";"5887.00";"30907.60";"DUCHOD";"CD";"40117204"
"487115";"1660";"230102";"VYDAJ";"VYBER";"33400.00";"60027.10";"";"";""
"486141";"1657";"230102";"PRIJEM";"PREVOD Z UCTU";"3235.00";"16529.50";"";"EF";"43980419"
"486375";"1658";"230102";"VYDAJ";"PREVOD NA UCET";"1950.00";"20538.40";"";"UV";"35897404"
"483559";"1645";"230102";"VYDAJ";"VYBER";"400.00";"40082.70";"";"";""
"482941";"1644";"230102";"VYDAJ";"PREVOD NA UCET";"2534.00";"41021.30";"SIPO";"EF";"89781009"
"814601";"2773";"230102";"VYDAJ";"PREVOD NA UCET";"154.00";"33340.70";" ";"UV";"95782577"
"382336";"1298";"230102";"VYDAJ";"VYBER";"4000.00";"24849.00";"";"";""
"381178";"1295";"230102";"PRIJEM";"VKLAD";"5582.00";"17376.70";"";"";""
"382221";"1298";"230102";"VYDAJ";"PREVOD NA UCET";"5822.00";"19027.00";"SIPO";"MN";"11863774"
"381312";"1295";"230102";"VYDAJ";"VYBER";"1600.00";"15776.70";"";"";""
"386047";"1312";"230102";"PRIJEM";"PREVOD Z UCTU";"5735.00";"22929.20";"DUCHOD";"QR";"82899385"
"387295";"1316";"230102";"VYDAJ";"PREVOD NA UCET";"1130.00";"15968.00";"";"KL";"70345508"
"387525";"1317";"230102";"PRIJEM";"PREVOD Z UCTU";"6732.00";"28829.10";"DUCHOD";"MN";"53008729"
"386407";"1313";"230102";"VYDAJ";"VYBER";"12900.00";"70543.20";"";"";""
"1029379";"3515";"230102";"PRIJEM";"PREVOD Z UCTU";"4373.00";"18041.40";"DUCHOD";"IJ";"73513376"
"1026170";"3504";"230102";"PRIJEM";"VKLAD";"5040.00";"22902.40";"";"";""
"1029926";"3518";"230102";"VYDAJ";"VYBER";"720.00";"31998.80";"";"";""
"1027858";"3510";"230102";"VYBER";"VYBER";"10453.00";"48434.50";"";"";""
"1086333";"3712";"230102";"PRIJEM";"PREVOD Z UCTU";"6074.00";"25507.70";"DUCHOD";"CD";"97933172"
"1087906";"3717";"230102";"VYDAJ";"PREVOD NA UCET";"10727.00";"8141.90";"SIPO";"MN";"95008021"
